date, temp (C), RH (%), epoch time (s)
2018-04-10_120137,22.87,25.80,1523379697.833215
2018-04-10_120147,22.88,25.81,1523379707.833229
2018-04-10_120157,22.90,25.81,1523379717.8332431
2018-04-10_120207,22.90,25.84,1523379727.8332572
2018-04-10_120217,22.88,25.81,1523379737.833271
2018-04-10_120227,22.91,25.84,1523379747.833285
2018-04-10_120237,22.90,25.82,1523379757.8332992
2018-04-10_120247,22.93,25.84,1523379767.833313
2018-04-10_120257,22.88,25.87,1523379777.833327
2018-04-10_120307,22.93,25.84,1523379787.8333411
2018-04-10_120317,22.93,25.90,1523379797.833355
2018-04-10_120327,22.93,25.88,1523379807.833369
2018-04-10_120337,22.93,25.88,1523379817.833383
2018-04-10_120347,22.94,25.87,1523379827.833397
2018-04-10_120357,22.93,25.88,1523379837.833411
2018-04-10_120407,22.93,25.88,1523379847.833425
2018-04-10_120417,22.91,25.94,1523379857.8334389
2018-04-10_120427,22.94,25.88,1523379867.833453
2018-04-10_120437,22.95,25.93,1523379877.8334672
2018-04-10_120447,22.94,25.88,1523379887.8334813
2018-04-10_120457,22.94,25.96,1523379897.8334951
2018-04-10_120507,22.93,25.94,1523379907.8335092
2018-04-10_120517,22.94,25.96,1523379917.8335233
2018-04-10_120527,22.95,25.90,1523379927.833537
2018-04-10_120537,22.97,25.96,1523379937.8335512
2018-04-10_120547,22.94,25.96,1523379947.8335652
2018-04-10_120557,22.94,25.96,1523379957.833579
2018-04-10_120607,22.95,25.91,1523379967.8335931
2018-04-10_120617,22.97,25.94,1523379977.8336072
2018-04-10_120627,22.97,25.93,1523379987.833621
2018-04-10_120637,22.97,26.00,1523379997.833635
2018-04-10_120647,22.99,25.97,1523380007.8336492
2018-04-10_120657,22.98,25.97,1523380017.833663
2018-04-10_120707,22.97,25.97,1523380027.833677
2018-04-10_120717,22.98,25.96,1523380037.8336911
2018-04-10_120727,22.98,25.99,1523380047.8337052
2018-04-10_120737,22.98,25.94,1523380057.833719
2018-04-10_120747,22.98,25.97,1523380067.833733
2018-04-10_120757,22.99,25.96,1523380077.8337471
2018-04-10_120807,22.98,25.96,1523380087.833761
2018-04-10_120817,22.99,25.96,1523380097.833775
2018-04-10_120827,22.99,25.97,1523380107.833789
2018-04-10_120837,22.98,25.99,1523380117.833803
2018-04-10_120847,23.01,25.97,1523380127.833817
2018-04-10_120857,23.01,25.99,1523380137.833831
2018-04-10_120907,22.98,26.02,1523380147.833845
2018-04-10_120917,23.01,25.99,1523380157.833859
2018-04-10_120927,23.02,25.97,1523380167.833873
2018-04-10_120937,23.02,26.00,1523380177.8338869
2018-04-10_120947,23.01,25.97,1523380187.8339012
2018-04-10_120957,23.02,26.00,1523380197.8339152
2018-04-10_121007,23.02,25.99,1523380207.8339293
2018-04-10_121017,23.02,26.02,1523380217.8339431
2018-04-10_121027,23.01,26.00,1523380227.8339572
2018-04-10_121037,23.01,26.03,1523380237.8339713
2018-04-10_121047,23.04,26.02,1523380247.833985
2018-04-10_121057,23.02,26.00,1523380257.8339992
2018-04-10_121107,23.04,26.00,1523380267.8340132
2018-04-10_121117,23.05,26.01,1523380277.834027
2018-04-10_121127,23.05,26.03,1523380287.834041
2018-04-10_121137,23.02,26.05,1523380297.8340552
2018-04-10_121147,23.04,25.99,1523380307.834069
2018-04-10_121157,23.05,26.03,1523380317.834083
2018-04-10_121207,23.05,26.02,1523380327.8340971
2018-04-10_121217,23.05,25.99,1523380337.834111
2018-04-10_121227,23.05,25.95,1523380347.834125
2018-04-10_121237,23.06,25.98,1523380357.834139
2018-04-10_121247,23.05,26.05,1523380367.8341532
2018-04-10_121257,23.06,26.01,1523380377.834167
2018-04-10_121307,23.06,25.96,1523380387.834181
2018-04-10_121317,23.05,25.95,1523380397.8341951
2018-04-10_121327,23.05,26.02,1523380407.834209
2018-04-10_121337,23.06,25.98,1523380417.834223
2018-04-10_121347,23.08,25.98,1523380427.834237
2018-04-10_121357,23.06,25.94,1523380437.834251
2018-04-10_121407,23.06,25.96,1523380447.834265
2018-04-10_121417,23.06,25.96,1523380457.834279
2018-04-10_121427,23.06,25.92,1523380467.834293
2018-04-10_121437,23.08,25.95,1523380477.834307
