date, temp (C), RH (%), epoch time (s)
2018-03-06_113221,24.41,25.73,1520357541.974041
2018-03-06_113231,24.39,25.69,1520357551.974055
2018-03-06_113241,24.41,25.71,1520357561.974069
2018-03-06_113251,24.39,25.71,1520357571.974083
2018-03-06_113301,24.41,25.68,1520357581.974097
2018-03-06_113311,24.39,25.65,1520357591.974111
2018-03-06_113321,24.39,25.65,1520357601.974125
2018-03-06_113331,24.39,25.57,1520357611.974139
2018-03-06_113341,24.38,25.58,1520357621.974153
2018-03-06_113351,24.44,25.54,1520357631.974167
2018-03-06_113401,24.39,25.59,1520357641.974181
2018-03-06_113411,24.39,25.54,1520357651.974195
2018-03-06_113421,24.38,25.48,1520357661.974209
2018-03-06_113431,24.38,25.51,1520357671.974223
2018-03-06_113441,24.41,25.50,1520357681.974237
2018-03-06_113451,24.39,25.46,1520357691.974251
2018-03-06_113501,24.39,25.43,1520357701.974265
2018-03-06_113511,24.38,25.40,1520357711.974279
2018-03-06_113521,24.39,25.37,1520357721.974293
2018-03-06_113531,24.41,25.37,1520357731.974307
2018-03-06_113541,24.41,25.35,1520357741.974321
2018-03-06_113551,24.39,25.32,1520357751.974335
2018-03-06_113601,24.39,25.33,1520357761.974349
2018-03-06_113611,24.39,25.31,1520357771.974363
2018-03-06_113621,24.39,25.25,1520357781.974377
2018-03-06_113631,24.37,25.22,1520357791.974391
2018-03-06_113641,24.39,25.24,1520357801.974405
2018-03-06_113651,24.39,25.22,1520357811.974419
2018-03-06_113701,24.39,25.15,1520357821.974433
2018-03-06_113711,24.41,25.21,1520357831.974447
2018-03-06_113721,24.38,25.17,1520357841.974461
2018-03-06_113731,24.39,25.17,1520357851.974475
2018-03-06_113741,24.41,25.13,1520357861.974489
2018-03-06_113751,24.38,25.14,1520357871.974503
2018-03-06_113801,24.38,25.07,1520357881.974517
2018-03-06_113811,24.38,25.09,1520357891.974531
2018-03-06_113821,24.41,25.09,1520357901.974545
2018-03-06_113831,24.39,25.06,1520357911.974559
2018-03-06_113841,24.39,25.05,1520357921.974573
2018-03-06_113851,24.42,25.06,1520357931.974587
2018-03-06_113901,24.37,25.03,1520357941.974601
2018-03-06_113911,24.38,25.05,1520357951.974615
2018-03-06_113921,24.38,24.99,1520357961.974629
2018-03-06_113931,24.38,24.96,1520357971.974643
2018-03-06_113941,24.38,24.98,1520357981.974657
2018-03-06_113951,24.39,25.02,1520357991.974671
2018-03-06_114001,24.41,24.97,1520358001.974685
2018-03-06_114011,24.39,24.95,1520358011.974699
2018-03-06_114021,24.38,24.95,1520358021.974713
2018-03-06_114031,24.38,24.90,1520358031.974727
2018-03-06_114041,24.39,24.88,1520358041.974741
2018-03-06_114051,24.39,24.92,1520358051.974755
2018-03-06_114101,24.39,24.85,1520358061.974769
2018-03-06_114111,24.39,24.84,1520358071.974783
2018-03-06_114121,24.42,24.85,1520358081.974797
2018-03-06_114131,24.39,24.81,1520358091.974811
2018-03-06_114141,24.37,24.81,1520358101.974825
2018-03-06_114151,24.39,24.78,1520358111.974839
2018-03-06_114201,24.38,24.78,1520358121.974853
2018-03-06_114211,24.38,24.73,1520358131.974867
2018-03-06_114221,24.38,24.77,1520358141.974881
2018-03-06_114231,24.39,24.76,1520358151.974895
2018-03-06_114241,24.38,24.78,1520358161.974909
2018-03-06_114251,24.38,24.74,1520358171.974923
2018-03-06_114301,24.39,24.74,1520358181.974937
2018-03-06_114311,24.38,24.67,1520358191.974951
2018-03-06_114321,24.38,24.73,1520358201.974965
2018-03-06_114331,24.38,24.64,1520358211.974979
2018-03-06_114341,24.38,24.67,1520358221.974993
2018-03-06_114351,24.38,24.68,1520358231.975007
2018-03-06_114401,24.38,24.66,1520358241.975021
2018-03-06_114411,24.38,24.66,1520358251.975035
2018-03-06_114421,24.38,24.64,1520358261.975049
2018-03-06_114431,24.38,24.66,1520358271.975063
2018-03-06_114441,24.39,24.66,1520358281.975077
2018-03-06_114451,24.38,24.63,1520358291.975091
2018-03-06_114501,24.38,24.59,1520358301.975105
2018-03-06_114511,24.38,24.59,1520358311.975119
2018-03-06_114521,24.38,24.60,1520358321.975133
2018-03-06_114531,24.39,24.66,1520358331.975147
2018-03-06_114541,24.37,24.63,1520358341.975161
2018-03-06_114551,24.38,24.63,1520358351.975175
2018-03-06_114601,24.39,24.59,1520358361.975189
2018-03-06_114611,24.38,24.63,1520358371.975203
2018-03-06_114621,24.38,24.60,1520358381.975217
2018-03-06_114631,24.39,24.56,1520358391.975231
2018-03-06_114641,24.37,24.57,1520358401.975245
2018-03-06_114651,24.38,24.56,1520358411.975259
2018-03-06_114701,24.38,24.56,1520358421.975273
2018-03-06_114711,24.38,24.59,1520358431.975287
2018-03-06_114721,24.38,24.60,1520358441.975301
2018-03-06_114731,24.38,24.56,1520358451.975315
2018-03-06_114741,24.38,24.57,1520358461.975329
2018-03-06_114751,24.37,24.59,1520358471.975343
2018-03-06_114801,24.37,24.60,1520358481.975357
2018-03-06_114811,24.37,24.55,1520358491.975371
2018-03-06_114821,24.37,24.57,1520358501.975385
2018-03-06_114831,24.35,24.57,1520358511.975399
2018-03-06_114841,24.37,24.55,1520358521.975413
2018-03-06_114851,24.38,24.57,1520358531.975427
2018-03-06_114901,24.37,24.55,1520358541.975441
2018-03-06_114911,24.38,24.59,1520358551.975455
2018-03-06_114921,24.38,24.60,1520358561.975469
2018-03-06_114931,24.37,24.60,1520358571.975483
2018-03-06_114941,24.38,24.59,1520358581.975497
2018-03-06_114951,24.38,24.60,1520358591.975511
2018-03-06_115001,24.38,24.60,1520358601.975525
2018-03-06_115011,24.38,24.63,1520358611.975539
2018-03-06_115021,24.39,24.60,1520358621.975553
2018-03-06_115031,24.37,24.64,1520358631.975567
2018-03-06_115041,24.38,24.62,1520358641.975581
2018-03-06_115051,24.37,24.63,1520358651.975595
2018-03-06_115101,24.37,24.57,1520358661.975609
2018-03-06_115111,24.38,24.63,1520358671.975623
2018-03-06_115121,24.37,24.60,1520358681.975637
2018-03-06_115131,24.39,24.66,1520358691.975651
2018-03-06_115141,24.38,24.70,1520358701.975665
2018-03-06_115151,24.38,24.61,1520358711.975679
2018-03-06_115201,24.37,24.63,1520358721.975693
2018-03-06_115211,24.37,24.64,1520358731.975707
2018-03-06_115221,24.38,24.61,1520358741.975721
2018-03-06_115231,24.39,24.66,1520358751.975735
2018-03-06_115241,24.39,24.64,1520358761.975749
2018-03-06_115251,24.37,24.67,1520358771.975763
2018-03-06_115301,24.37,24.70,1520358781.975777
2018-03-06_115311,24.34,24.70,1520358791.975791
2018-03-06_115321,24.37,24.68,1520358801.975805
